,step,KL,W2,seed
0,0,173.48167419433594,39.31792428297653,58888319060236145
1,30,156.92428588867188,39.01112089790471,58888319060236145
2,60,143.39239501953125,38.744820722420435,58888319060236145
3,90,135.79190063476562,38.53746369960584,58888319060236145
4,120,129.91831970214844,38.35845849210608,58888319060236145
5,150,124.89618682861328,38.19183754518922,58888319060236145
6,180,121.13495635986328,38.044949899962084,58888319060236145
7,210,117.62118530273438,37.90554635321772,58888319060236145
8,240,114.64988708496094,37.77598960484027,58888319060236145
9,270,111.99281311035156,37.65414121429325,58888319060236145
10,300,109.56228637695312,37.539442148184285,58888319060236145
11,330,107.45697021484375,37.43015631229049,58888319060236145
12,360,105.43475341796875,37.32539592106241,58888319060236145
13,390,103.58808135986328,37.22374972978022,58888319060236145
14,420,101.86520385742188,37.126203421151885,58888319060236145
15,450,100.20796203613281,37.03025282148959,58888319060236145
16,480,98.69721984863281,36.93682251388003,58888319060236145
17,510,97.26273345947266,36.848209282728384,58888319060236145
18,540,95.90497589111328,36.76002334610589,58888319060236145
19,570,94.61775207519531,36.674887365624585,58888319060236145
20,600,93.40982055664062,36.59400352175203,58888319060236145
21,630,92.26801300048828,36.51258946518481,58888319060236145
22,660,91.16290283203125,36.4346874584552,58888319060236145
23,690,90.0852279663086,36.35535437858071,58888319060236145
24,720,89.07621765136719,36.28036847550959,58888319060236145
25,750,88.07080078125,36.20456810891583,58888319060236145
26,780,87.1568374633789,36.132828547293734,58888319060236145
27,810,86.24909210205078,36.06207349184528,58888319060236145
28,840,85.4066162109375,35.993660262629064,58888319060236145
29,870,84.58973693847656,35.92669334800901,58888319060236145
30,900,83.78671264648438,35.86055962095579,58888319060236145
31,930,83.01925659179688,35.79484935342479,58888319060236145
32,960,82.27275085449219,35.73122697382064,58888319060236145
33,990,81.55997467041016,35.668576008205385,58888319060236145
34,1020,80.84983825683594,35.60579594782463,58888319060236145
35,1050,80.15634155273438,35.54440582083558,58888319060236145
36,1080,79.47594451904297,35.48153851223637,58888319060236145
37,1110,78.82861328125,35.42261764494985,58888319060236145
38,1140,78.19042205810547,35.362091836633475,58888319060236145
39,1170,77.58487701416016,35.30480938101334,58888319060236145
40,1200,76.98387145996094,35.247561972425835,58888319060236145
41,1230,76.39537811279297,35.18950683941965,58888319060236145
42,1260,75.80949401855469,35.13261010754467,58888319060236145
43,1290,75.25000762939453,35.076612926764504,58888319060236145
44,1320,74.7020263671875,35.02122159368606,58888319060236145
45,1350,74.1716079711914,34.96770796872362,58888319060236145
46,1380,73.66388702392578,34.91424692975455,58888319060236145
47,1410,73.15591430664062,34.86138322039248,58888319060236145
48,1440,72.65162658691406,34.807695752430234,58888319060236145
49,1470,72.16722106933594,34.75606610160843,58888319060236145
50,1500,71.67728424072266,34.70373880873194,58888319060236145
51,1530,71.21439361572266,34.65287017164397,58888319060236145
52,1560,70.74002838134766,34.60108535034522,58888319060236145
53,1590,70.28998565673828,34.551132567815344,58888319060236145
54,1620,69.8407211303711,34.50098716318672,58888319060236145
55,1650,69.3980712890625,34.45061994861268,58888319060236145
56,1680,68.97207641601562,34.400865623761014,58888319060236145
57,1710,68.54716491699219,34.352462427090835,58888319060236145
58,1740,68.13497924804688,34.304072778311436,58888319060236145
59,1770,67.76286315917969,34.260263060869804,58888319060236145
60,1800,67.36024475097656,34.21280270805981,58888319060236145
61,1830,66.99562072753906,34.16835079849571,58888319060236145
62,1860,66.61396026611328,34.12287331685943,58888319060236145
63,1890,66.23221588134766,34.076290929554304,58888319060236145
64,1920,65.8507308959961,34.02968423567412,58888319060236145
65,1950,65.49440002441406,33.985808159436196,58888319060236145
66,1980,65.14163208007812,33.941296331750316,58888319060236145
67,2010,64.78536987304688,33.89680708080685,58888319060236145
68,2040,64.43801879882812,33.85238557013468,58888319060236145
69,2070,64.10095977783203,33.809730853566776,58888319060236145
70,2100,63.76350402832031,33.76614197313634,58888319060236145
71,2130,63.444252014160156,33.72432110486992,58888319060236145
72,2160,63.12825012207031,33.68345218607907,58888319060236145
73,2190,62.80333709716797,33.64017141473123,58888319060236145
74,2220,62.490447998046875,33.59936726292253,58888319060236145
75,2250,62.17633056640625,33.55851895325444,58888319060236145
76,2280,61.86415100097656,33.51633339869067,58888319060236145
77,2310,61.56105422973633,33.47580494329543,58888319060236145
78,2340,61.268699645996094,33.43611453029213,58888319060236145
79,2370,60.964576721191406,33.394075921346065,58888319060236145
80,2400,60.66149139404297,33.35274011887929,58888319060236145
81,2430,60.38624572753906,33.31415626745633,58888319060236145
82,2460,60.10678482055664,33.27579364016451,58888319060236145
83,2490,59.823997497558594,33.23541261015406,58888319060236145
84,2520,59.55360412597656,33.19770360151531,58888319060236145
85,2550,59.278724670410156,33.158797616545144,58888319060236145
86,2580,59.008323669433594,33.12029005430433,58888319060236145
87,2610,58.74360656738281,33.08274685766642,58888319060236145
88,2640,58.48785400390625,33.04613991499234,58888319060236145
89,2670,58.22482681274414,33.00825720854272,58888319060236145
90,2700,57.979984283447266,32.97238575924178,58888319060236145
91,2730,57.71955108642578,32.93346008194022,58888319060236145
92,2760,57.46842956542969,32.89720280127837,58888319060236145
93,2790,57.21000671386719,32.85786856092749,58888319060236145
94,2820,56.964576721191406,32.8210628707961,58888319060236145
95,2850,56.741634368896484,32.788013556905405,58888319060236145
96,2880,56.51116943359375,32.75281401913239,58888319060236145
97,2910,56.273067474365234,32.717065456276984,58888319060236145
98,2940,56.04820251464844,32.682248920954784,58888319060236145
99,2970,55.826011657714844,32.64789628499725,58888319060236145
