,step,KL,W2,seed
0,0,173.48167419433594,39.31792428297653,58888319060236145
1,30,163.76983642578125,39.09166411301775,58888319060236145
2,60,156.0944366455078,38.900645931735504,58888319060236145
3,90,150.61614990234375,38.725266173835074,58888319060236145
4,120,141.5623779296875,38.50933962406068,58888319060236145
5,150,137.6603546142578,38.36057788338016,58888319060236145
6,180,127.99761962890625,38.138270935648585,58888319060236145
7,210,120.23155212402344,37.948652409888844,58888319060236145
8,240,114.7308578491211,37.77884769295925,58888319060236145
9,270,112.18897247314453,37.661061998041326,58888319060236145
10,300,110.5335693359375,37.56621270389208,58888319060236145
11,330,108.38368225097656,37.45571115132594,58888319060236145
12,360,106.5022201538086,37.351712017322576,58888319060236145
13,390,104.60296630859375,37.24668347232408,58888319060236145
14,420,102.5629653930664,37.139768803235874,58888319060236145
15,450,100.87767791748047,37.04291252269538,58888319060236145
16,480,98.72796630859375,36.93534026310794,58888319060236145
17,510,97.26080322265625,36.84691727268375,58888319060236145
18,540,96.10908508300781,36.766674177550044,58888319060236145
19,570,94.90819549560547,36.683901348739646,58888319060236145
20,600,93.85774230957031,36.60696748379159,58888319060236145
21,630,92.61087799072266,36.52142959052859,58888319060236145
22,660,91.50100708007812,36.44203746673013,58888319060236145
23,690,90.35990905761719,36.36272210098895,58888319060236145
24,720,89.18093872070312,36.28368249274562,58888319060236145
25,750,88.13185119628906,36.209623594015895,58888319060236145
26,780,87.26261901855469,36.13964884652312,58888319060236145
27,810,86.45284271240234,36.07283620286531,58888319060236145
28,840,85.6389389038086,36.00492994672744,58888319060236145
29,870,84.78778076171875,35.93484195333183,58888319060236145
30,900,84.01472473144531,35.867836692284286,58888319060236145
31,930,83.16499328613281,35.80013318596472,58888319060236145
32,960,82.346923828125,35.7333040531475,58888319060236145
33,990,81.53958892822266,35.6677803032066,58888319060236145
34,1020,80.81941223144531,35.603833144344335,58888319060236145
35,1050,80.21684265136719,35.54622080441974,58888319060236145
36,1080,79.56433868408203,35.48551365962595,58888319060236145
37,1110,78.93750762939453,35.425674214539484,58888319060236145
38,1140,78.29861450195312,35.36458927804319,58888319060236145
39,1170,77.6483383178711,35.30377381120183,58888319060236145
40,1200,77.04974365234375,35.24694378096401,58888319060236145
41,1230,76.37673950195312,35.18714267691574,58888319060236145
42,1260,75.80677032470703,35.13222442942341,58888319060236145
43,1290,75.30695343017578,35.08008242033059,58888319060236145
44,1320,74.7918472290039,35.02622831424867,58888319060236145
45,1350,74.31207275390625,34.975313908638654,58888319060236145
46,1380,73.77312469482422,34.919492717960374,58888319060236145
47,1410,73.28648376464844,34.86841545703468,58888319060236145
48,1440,72.77803802490234,34.815937961410896,58888319060236145
49,1470,72.26162719726562,34.76367620942512,58888319060236145
50,1500,71.77771759033203,34.71382728377123,58888319060236145
51,1530,71.32537841796875,34.66382743750591,58888319060236145
52,1560,70.893310546875,34.615146598323655,58888319060236145
53,1590,70.45882415771484,34.5654136712643,58888319060236145
54,1620,70.02140808105469,34.51539511580304,58888319060236145
55,1650,69.60994720458984,34.46734931707561,58888319060236145
56,1680,69.15725708007812,34.41727336752125,58888319060236145
57,1710,68.71678161621094,34.368776070071036,58888319060236145
58,1740,68.2768325805664,34.320348957128374,58888319060236145
59,1770,67.85789489746094,34.271486545509845,58888319060236145
60,1800,67.50150299072266,34.228009591926316,58888319060236145
61,1830,67.1153793334961,34.18096694033922,58888319060236145
62,1860,66.7448959350586,34.135352496188794,58888319060236145
63,1890,66.3714370727539,34.08896799930753,58888319060236145
64,1920,65.99361419677734,34.0431747071366,58888319060236145
65,1950,65.63139343261719,33.99897315774772,58888319060236145
66,1980,65.24372100830078,33.953876401027465,58888319060236145
67,2010,64.88953399658203,33.9100048324145,58888319060236145
68,2040,64.55397033691406,33.86697393963808,58888319060236145
69,2070,64.21012878417969,33.822267824338006,58888319060236145
70,2100,63.89653015136719,33.78119579667252,58888319060236145
71,2130,63.557926177978516,33.73713766767733,58888319060236145
72,2160,63.21831512451172,33.69266324647882,58888319060236145
73,2190,62.887725830078125,33.64959203237556,58888319060236145
74,2220,62.54264450073242,33.606877885500424,58888319060236145
75,2250,62.209293365478516,33.56463491231321,58888319060236145
76,2280,61.9091796875,33.523487568419846,58888319060236145
77,2310,61.61619567871094,33.48277819337689,58888319060236145
78,2340,61.32269287109375,33.44195173344683,58888319060236145
79,2370,61.02632141113281,33.40049792620987,58888319060236145
80,2400,60.72682189941406,33.35805764377814,58888319060236145
81,2430,60.433319091796875,33.31826909765966,58888319060236145
82,2460,60.155616760253906,33.280283510027566,58888319060236145
83,2490,59.84967803955078,33.23925424044495,58888319060236145
84,2520,59.584877014160156,33.20207902764242,58888319060236145
85,2550,59.330501556396484,33.16453271898686,58888319060236145
86,2580,59.05552673339844,33.12488576041621,58888319060236145
87,2610,58.780784606933594,33.08436112685078,58888319060236145
88,2640,58.5208854675293,33.04654255151929,58888319060236145
89,2670,58.2496452331543,33.00755269868171,58888319060236145
90,2700,57.990509033203125,32.96999405235767,58888319060236145
91,2730,57.72395324707031,32.932676132172475,58888319060236145
92,2760,57.473289489746094,32.89644210732085,58888319060236145
93,2790,57.23611831665039,32.860740208801026,58888319060236145
94,2820,56.9835090637207,32.82237202684702,58888319060236145
95,2850,56.74634552001953,32.785636324749746,58888319060236145
96,2880,56.495811462402344,32.74738889579118,58888319060236145
97,2910,56.256378173828125,32.71079662466679,58888319060236145
98,2940,56.01808166503906,32.675205697635825,58888319060236145
99,2970,55.77394485473633,32.639022444503645,58888319060236145
