,step,KL,W2,seed
0,0,173.48167419433594,39.31792428297653,58888319060236145
1,30,124.87346649169922,38.191000120897264,58888319060236145
2,60,109.5188980102539,37.53713493360192,58888319060236145
3,90,100.16299438476562,37.026830894024506,58888319060236145
4,120,93.39722442626953,36.59191024677193,58888319060236145
5,150,88.12846374511719,36.20932186929735,58888319060236145
6,180,83.81168365478516,35.86244370039586,58888319060236145
7,210,80.18022155761719,35.54582931154248,58888319060236145
8,240,77.01427459716797,35.249385314343606,58888319060236145
9,270,74.1865005493164,34.96702373699308,58888319060236145
10,300,71.68614959716797,34.70228956952534,58888319060236145
11,330,69.44459533691406,34.45326672306452,58888319060236145
12,360,67.38870239257812,34.214038987924056,58888319060236145
13,390,65.52393341064453,33.98698625025467,58888319060236145
14,420,63.796382904052734,33.7695978979244,58888319060236145
15,450,62.17681884765625,33.55673469453449,58888319060236145
16,480,60.66843032836914,33.3508899484191,58888319060236145
17,510,59.250877380371094,33.15201765223442,58888319060236145
18,540,57.90654754638672,32.9581032868341,58888319060236145
19,570,56.66162109375,32.77345332985315,58888319060236145
20,600,55.471214294433594,32.59090351904194,58888319060236145
21,630,54.36231231689453,32.41655829901017,58888319060236145
22,660,53.28146743774414,32.241904492033925,58888319060236145
23,690,52.29216003417969,32.07768166705338,58888319060236145
24,720,51.331581115722656,31.91467831413206,58888319060236145
25,750,50.39958190917969,31.753888710553035,58888319060236145
26,780,49.52308654785156,31.598858428808885,58888319060236145
27,810,48.679176330566406,31.44624998602526,58888319060236145
28,840,47.87095642089844,31.297635568641603,58888319060236145
29,870,47.08047103881836,31.150201973788427,58888319060236145
30,900,46.34458923339844,31.01041360499929,58888319060236145
31,930,45.63042449951172,30.872313347809108,58888319060236145
32,960,44.93324279785156,30.73407512881163,58888319060236145
33,990,44.2542724609375,30.59693388693138,58888319060236145
34,1020,43.60709762573242,30.464194370964005,58888319060236145
35,1050,42.975101470947266,30.33224731289756,58888319060236145
36,1080,42.342559814453125,30.198852678951233,58888319060236145
37,1110,41.76573181152344,30.076545210135816,58888319060236145
38,1140,41.1998291015625,29.951872813875827,58888319060236145
39,1170,40.638450622558594,29.827434389922917,58888319060236145
40,1200,40.09186935424805,29.703871924788167,58888319060236145
41,1230,39.560462951660156,29.582705667490508,58888319060236145
42,1260,39.04978942871094,29.464488234051025,58888319060236145
43,1290,38.554752349853516,29.348832052930042,58888319060236145
44,1320,38.05995178222656,29.231567835226848,58888319060236145
45,1350,37.58522033691406,29.117991377754752,58888319060236145
46,1380,37.132225036621094,29.005521051428186,58888319060236145
47,1410,36.671173095703125,28.892014019813395,58888319060236145
48,1440,36.240509033203125,28.78376498919356,58888319060236145
49,1470,35.807472229003906,28.67349599470901,58888319060236145
50,1500,35.37776184082031,28.563513940222432,58888319060236145
51,1530,34.97338104248047,28.458105515498566,58888319060236145
52,1560,34.559654235839844,28.348609785275407,58888319060236145
53,1590,34.1700325012207,28.244043853237336,58888319060236145
54,1620,33.79579162597656,28.143249287684426,58888319060236145
55,1650,33.41816711425781,28.040328274926186,58888319060236145
56,1680,33.05200958251953,27.940619582540577,58888319060236145
57,1710,32.67762756347656,27.836036170187175,58888319060236145
58,1740,32.330413818359375,27.738377792132376,58888319060236145
59,1770,31.989059448242188,27.640821526293994,58888319060236145
60,1800,31.63623046875,27.538835327077198,58888319060236145
61,1830,31.314128875732422,27.445119021521272,58888319060236145
62,1860,30.975906372070312,27.346411700809234,58888319060236145
63,1890,30.658218383789062,27.251802997261713,58888319060236145
64,1920,30.34650230407715,27.158754784153512,58888319060236145
65,1950,30.034027099609375,27.063036765750716,58888319060236145
66,1980,29.734039306640625,26.971854905275794,58888319060236145
67,2010,29.441959381103516,26.88262291963086,58888319060236145
68,2040,29.159048080444336,26.79546962422589,58888319060236145
69,2070,28.8759822845459,26.706322493612117,58888319060236145
70,2100,28.590656280517578,26.61699488116392,58888319060236145
71,2130,28.32063865661621,26.530817502364116,58888319060236145
72,2160,28.06578254699707,26.44970421436398,58888319060236145
73,2190,27.794300079345703,26.360282660721317,58888319060236145
74,2220,27.535648345947266,26.27427843956007,58888319060236145
75,2250,27.281736373901367,26.190520410541673,58888319060236145
76,2280,27.04021453857422,26.111516219799935,58888319060236145
77,2310,26.796297073364258,26.0308596065414,58888319060236145
78,2340,26.55460548400879,25.949541867719578,58888319060236145
79,2370,26.318286895751953,25.870771421912487,58888319060236145
80,2400,26.075885772705078,25.787395100974237,58888319060236145
81,2430,25.853172302246094,25.710400993338887,58888319060236145
82,2460,25.612506866455078,25.627218606319605,58888319060236145
83,2490,25.39093780517578,25.54904902829066,58888319060236145
84,2520,25.166484832763672,25.469820002446646,58888319060236145
85,2550,24.94742202758789,25.390723557501026,58888319060236145
86,2580,24.73862075805664,25.315956313024575,58888319060236145
87,2610,24.52834701538086,25.23971861959031,58888319060236145
88,2640,24.325674057006836,25.166215029405,58888319060236145
89,2670,24.112873077392578,25.0874325601672,58888319060236145
90,2700,23.914072036743164,25.01313131699528,58888319060236145
91,2730,23.70980453491211,24.9371781483773,58888319060236145
92,2760,23.516672134399414,24.86547301072061,58888319060236145
93,2790,23.31248664855957,24.789147445095555,58888319060236145
94,2820,23.11606216430664,24.7139654918435,58888319060236145
95,2850,22.930532455444336,24.641673992810812,58888319060236145
96,2880,22.75251579284668,24.572710783191482,58888319060236145
97,2910,22.582420349121094,24.506969472669912,58888319060236145
98,2940,22.41183090209961,24.439057205421076,58888319060236145
99,2970,22.234769821166992,24.369062277590054,58888319060236145
